层级,职业编码,职业名称,职业描述,主要工作任务,parent_code,l2_prefix,category,core_actions,objects,deliverables,main_kpi,environment,served_population,role_level
四级,2-09-03-01,电影电视制片人,从事影视片生产组织、成本核算和摄制组管理的专业人员。,"1.根据出品方项目规划和影片创作要求，制订影视片的摄制计划
2.代表出品方组织摄制团队
3.进行影视片的拍摄计划调度、成本控制和质量管理
4.参与电影电视艺术创作。",2-09-03,2-09,2类-专业技术创制,"[""制订影视摄制计划"", ""组织影视摄制团队"", ""控制拍摄成本"", ""管理影视质量"", ""参与艺术创作""]","[""影视摄制计划"", ""影视摄制团队"", ""拍摄成本预算"", ""影视作品质量""]","[""影视摄制计划书"", ""拍摄成本预算表"", ""电影电视成品片""]","""影视作品制作成本与质量""","[""影视制作公司办公区"", ""影视拍摄现场""]","[""影视出品方"", ""影视摄制团队"", ""观众""]",专业/项目负责
四级,2-09-03-02,电影电视场记,从事影视片拍摄过程现场记录的专业人员。,"1.运用视听语言知识与方法，记录影视片拍摄现场每一个镜头的场号、镜号、景名、气氛、拍摄内容、拍摄方法、镜头长度及导演意见
2.记录导演、主要创作人员在拍摄过程中特定和即兴的艺术处理方式
3.记录和核对每一场戏的场景布置和道具摆放情况，演员的服装、造型、特效化妆情况
4.记录和核对演员对白，并整理台词本
5.记录每天拍摄时长、任务完成情况、群众演员使用情况等，并形成制片报告
6.整理场记单，提供后期剪辑、配音、洗印所需的资料。",2-09-03,2-09,2类-专业技术创制,"[""记录镜头拍摄信息"", ""核对场景道具造型"", ""整理台词本"", ""形成制片报告"", ""整理场记单""]","[""镜头参数"", ""场景道具"", ""演员造型"", ""演员对白""]","[""场记单"", ""制片报告"", ""整理后的台词本""]","""无明确指标""","[""影视拍摄现场""]","[""导演"", ""后期剪辑人员"", ""制片方""]",事务支持
四级,2-09-03-03,电影电视摄影师,从事电影、电视摄影、摄像的专业人员。,"1.依据创作剧本，进行电影、电视艺术创作的摄影阐述
2.参与分镜头剧本讨论、外景场地选择、美术设计和灯光设计商议并为主要演员试镜头
3.根据导演的要求，运用摄影艺术手段进行影视片影像造型。",2-09-03,2-09,2类-专业技术创制,"[""阐述摄影方案"", ""讨论分镜头剧本"", ""选择外景场地"", ""塑造影视影像""]","[""创作剧本"", ""外景场地"", ""美术灯光设计"", ""影视片影像""]","[""摄影阐述方案"", ""分镜头脚本"", ""影视影像素材""]","""影像视觉质量""","[""电影拍摄现场"", ""电视录制演播室"", ""外景拍摄地""]","[""导演"", ""制片方"", ""影视观众""]",专业/项目负责
四级,2-09-03-04,电影电视片发行人,从事国内外影视片发行、策划、营销的专业人员。,"1.发行、代理发行影视片及影视片载体
2.进口、出口影视片及影视片载体
3.开拓、培育国内外电影电视片市场
4.策划、营销影视片及其衍生品。",2-09-03,2-09,2类-专业技术创制,"[""发行代理影视片"", ""进出口影视片"", ""开拓影视片市场"", ""策划营销影视片""]","[""影视片及载体"", ""国内外影视片市场"", ""影视片衍生品""]","[""影视片发行合同"", ""影视片营销策划方案"", ""影视片进出口单据""]","""影视片发行收益""","[""影视发行公司办公区"", ""电影院线"", ""影视贸易展会""]","[""影视观众"", ""电影院线"", ""影视制作公司""]",专业/项目负责
四级,2-09-03-05,电视导播,从事多部摄像机调机、切换指挥，进行电视节目同期录制和现场直播的专业人员。,"1.根据整体节目内容，设计录制程序，并进行分镜头
2.制作节目录制计划表、主创人员联络表、节目录制工作单
3.根据场地功能及节目内容，进行多机位的部署
4.提出灯光、音响、演员、布景道具的定位调度要求
5.进行现场连排、彩排的带机组合演练
6.制订直播节目应急方案，录制直播备播带
7.检验直播前的节目程序衔接、大屏幕视觉设计效果和字幕，并下达直播倒计时口令
8.指挥直播镜头切换及直播录制
9.检验节目录制技术质量，保管录制节目带。",2-09-03,2-09,2类-专业技术创制,"[""设计录制程序"", ""部署多机位"", ""指挥镜头切换"", ""制订直播应急方案"", ""检验录制技术质量""]","[""摄像机机位"", ""电视节目内容"", ""现场调度资源"", ""录制节目带""]","[""节目录制计划表"", ""分镜头脚本"", ""直播节目应急方案""]","""直播节目播出质量""","[""电视演播室"", ""导播控制室"", ""外景录制现场""]","[""电视节目观众"", ""节目制作团队""]",专业/项目负责
四级,2-09-03-06,剪辑师,从事电影电视声画素材剪辑的专业人员。,"1.根据导演创作构思，制订剪辑方案
2.编剪、组接摄制镜头
3.进行完成片声画套剪、合成。",2-09-03,2-09,2类-专业技术创制,"[""制订剪辑方案"", ""编剪组接镜头"", ""套剪声画素材"", ""合成完成片""]","[""摄制镜头"", ""声画素材"", ""电影电视素材""]","[""剪辑方案"", ""电影电视完成片""]","""成片质量""","[""后期剪辑室"", ""影视制作工作室""]","[""导演"", ""影视制片方"", ""观众""]",专业/项目负责
四级,2-09-04-01,灯光师,从事舞台演出、影视片摄制造型艺术及其他艺术形式光线处理的专业人员。,"1.运用各类灯具和设备，进行舞台演出、影视片等艺术形式灯光设计，绘制灯位图及效果图
2.选定特定灯具与光源
3.进行舞台演出、影视片等艺术形式所需光线效果、光线气氛的照明光线处理
4.指导灯光工作人员
5.管理、维护灯光系统。",2-09-04,2-09,2类-专业技术创制,"[""设计灯光方案"", ""绘制灯位图及效果图"", ""处理照明光线效果"", ""维护灯光系统""]","[""舞台灯具"", ""照明光源"", ""灯光控制系统"", ""影视拍摄场景""]","[""灯光设计效果图"", ""灯位布置图""]","""光线效果达成度""","[""剧院舞台"", ""影视拍摄现场"", ""灯光控制室""]","[""导演"", ""演艺人员"", ""影视制作团队""]",专业/项目负责
四级,2-09-04-02,音像师,从事影视片等声音设计、录制、处理的专业人员。,"1.进行影视片音乐、音响、效果、对话设计、录音
2.进行拍摄画面前期录音、同期录音和后期录音
3.进行影视片最终混录、处理。",2-09-04,2-09,2类-专业技术创制,"[""设计影视片声音效果"", ""执行同期录音"", ""进行后期录音"", ""完成最终混录""]","[""影视片音乐"", ""音响效果"", ""对话声音"", ""拍摄画面""]","[""声音设计方案"", ""录音素材"", ""影视片最终混录音轨""]","""音频制作质量""","[""专业录音棚"", ""影视拍摄现场"", ""后期制作工作室""]","[""影视制作团队"", ""影视作品观众""]",专业/项目负责
四级,2-09-04-03,美工师,从事舞台艺术、影视片等造型设计的专业人员。,"1.进行舞台艺术、影视片场景设计、人物造型设计、陈设道具设计及镜头画面设计
2.组织、指导服装、化妆、道具、置景、绘景、特技美术、字幕部门工作。",2-09-04,2-09,2类-专业技术创制,"[""设计舞台场景"", ""设计人物造型"", ""设计陈设道具"", ""设计镜头画面"", ""指导美术部门工作""]","[""舞台艺术场景"", ""影视片造型"", ""陈设道具"", ""镜头画面""]","[""场景设计方案"", ""人物造型方案"", ""道具设计图纸""]","""视觉呈现效果""","[""剧院舞台"", ""影视拍摄现场"", ""美术工作室""]","[""导演"", ""制片方"", ""观众""]",专业/项目负责
四级,2-09-04-04,化妆师,从事舞台演出、影视等人物化妆造型设计并进行造型体现的专业人员。,"1.研究、分析剧本内容、导演要求、服装设计和演员形貌等，进行化妆造型设计并绘制化妆设计图
2.监制化妆造型所需要的毛发、饰品、塑形等零配件
3.实施绘画化妆、毛发化妆、塑形化妆、饰物造型等化妆造型体现
4.试妆、定型。",2-09-04,2-09,2类-专业技术创制,"[""设计化妆造型"", ""绘制化妆设计图"", ""监制化妆零配件"", ""实施化妆造型体现"", ""试妆定型""]","[""剧本内容"", ""演员形貌"", ""化妆零配件"", ""造型方案""]","[""化妆设计图"", ""最终化妆造型""]","""无明确指标""","[""舞台后台"", ""影视拍摄现场"", ""化妆间""]","[""演员"", ""导演"", ""影视剧组""]",专业/项目负责
四级,2-09-04-05,装置师,从事舞台演出、影视片等场景组织制作的专业人员。,"1.根据演出和影视片创作意图，进行舞台演出、影视片的场景构造
2.根据设计图，组织、指导木、漆、瓦、纸等部门进行演出及影视片内容所需场景的加工、制作
3.在舞台演出中，组织人员迁换场景。",2-09-04,2-09,2类-专业技术创制,"[""构造演出场景"", ""指导场景加工"", ""组织场景迁换""]","[""舞台演出场景"", ""影视片场景"", ""场景设计图""]","[""舞台演出场景"", ""影视片场景""]","""场景还原度""","[""舞台演出场所"", ""影视拍摄现场"", ""场景制作车间""]","[""导演"", ""演出人员"", ""影视拍摄团队""]",专业/项目负责
四级,2-09-04-06,服装道具师,从事舞台演出、影视片等服装道具创作和管理的专业人员。,"1.根据美工造型意图，设计舞台演出、影视片等服装道具
2.监制舞台演出和影视片所需要的服装道具并组织陈设
3.组织服装道具收集、装置、置换
4.在舞台演出和影视片拍摄中，组织人员陈设、迁换服装道具。",2-09-04,2-09,2类-专业技术创制,"[""设计服装道具"", ""监制服装道具"", ""组织道具陈设"", ""迁换服装道具""]","[""舞台演出服装道具"", ""影视片服装道具"", ""美工造型意图""]","[""服装道具设计方案"", ""舞台道具陈设方案"", ""服装道具清单""]","""道具与造型意图匹配度""","[""影视拍摄现场"", ""剧院舞台"", ""道具工作室""]","[""美工造型师"", ""影视剧演员"", ""导演制作团队""]",专业/项目负责
四级,2-09-04-07,演出监督,从事文艺演出和排练中剧目或曲目统筹、监督、管理的专业人员。,"1.了解演出艺术构思，统筹艺术各部门工作进程
2.了解演出场地与场地空间、设备，组织指挥布景道具迁换和灯光等效果配制
3.协助导演完成演员调度，记录导演的调度情况
4.在演出中，发出舞台指令及提示，监督演出进行
5.记录、分析、处理演出中出现的问题。",2-09-04,2-09,2类-专业技术创制,"[""统筹部门工作进程"", ""指挥布景道具迁换"", ""发出舞台指令"", ""监督演出进程"", ""分析处理演出问题""]","[""艺术部门工作进程"", ""布景道具"", ""灯光效果"", ""演员调度""]","[""舞台指令单"", ""演员调度记录"", ""演出问题分析报告""]","""演出执行准确率""","[""剧院舞台"", ""演出场地"", ""排练厅""]","[""导演"", ""演员"", ""舞台技术人员""]",专业/项目负责
四级,2-09-04-08,演出制作人,从事演出工作策划、组织、成本核算和剧组管理的专业人员。,"1.掌握演出市场的信息，了解观众对演出的欣赏要求，组织、策划剧目演出的创意
2.筹措创作、排练、制作、演出、宣传、推广的经费
3.制订项目运行方案、经费收支计划、项目周期、演出计划、销售计划和宣传方案
4.进行项目创作、制作、推广、营销、宣传、商务人员的合同管理
5.组织观众、推销剧票
6.调查市场反馈，组织学术讨论及开发衍生产品。",2-09-04,2-09,2类-专业技术创制,"[""策划剧目创意"", ""筹措演出经费"", ""制订项目运行方案"", ""管理商务合同"", ""开发衍生产品""]","[""剧目创意"", ""演出经费"", ""项目运行方案"", ""商务合同""]","[""演出项目运行方案"", ""演出经费收支计划"", ""演出宣传方案""]","""演出项目票房收入""","[""演出剧场"", ""剧组办公区"", ""演出策划工作室""]","[""演出观众"", ""剧组人员"", ""项目投资方""]",专业/项目负责
四级,2-09-05-01,画家,使用画笔、颜料及其他工具材料，进行绘画创作的专业人员。,"1.对作品进行完整的构思
2.选择或制作绘画材料
3.制订绘制程序
4.进行绘制
5.在大型作品绘制中，指挥辅助人员参与作品绘制。",2-09-05,2-09,2类-专业技术创制,"[""构思绘画作品"", ""准备绘画材料"", ""制订绘制程序"", ""绘制绘画作品"", ""指挥辅助人员绘制""]","[""绘画作品"", ""绘画材料"", ""绘制程序""]","[""绘画作品"", ""绘画草图""]","""作品艺术质量""","[""美术工作室"", ""绘画画室"", ""创作现场""]","[""艺术收藏家"", ""艺术机构"", ""公众观众""]",专业/项目负责
四级,2-09-05-02,篆刻家,以中国文字的多种书体，在特选材质上进行镌刻，制成具有艺术风格印章的专业人员。,"1.选择镌刻材料和工具
2.选择、构思篆刻作品文字内容
3.确定入印书体，设计印文风格及形式
4.创作具有风格特征的篆刻艺术作品。",2-09-05,2-09,2类-专业技术创制,"[""选择镌刻材料"", ""构思作品内容"", ""设计印文风格"", ""创作篆刻作品""]","[""镌刻材料"", ""入印书体"", ""印文风格"", ""篆刻作品""]","[""艺术风格印章"", ""篆刻艺术作品""]","""无明确指标""","[""篆刻工作室"", ""艺术创作空间""]","[""艺术收藏家"", ""文化艺术机构"", ""印章需求者""]",专业/项目负责
四级,2-09-05-03,雕塑家,以泥料、石料、木料、金属、陶瓷、玻璃、石膏化工材料以及综合材料等为依托物，进行造型艺术及观念创作的专业人员。,"1.完整构思作品并通过文字、图稿、模型、小样等方式表达
2.选择创作材料，设计制作工具
3.根据创作的需要，确定制作加工程序
4.进行雕塑制作，在创作大型作品时指挥其他专业人员参与制作
5.调整作品构思，完善雕塑形式，制成具有一定艺术水准的作品。",2-09-05,2-09,2类-专业技术创制,"[""构思雕塑作品"", ""设计制作工具"", ""确定加工程序"", ""制作雕塑作品"", ""指挥专业人员""]","[""雕塑创作材料"", ""雕塑造型"", ""制作工具"", ""加工程序""]","[""雕塑设计图稿"", ""雕塑模型小样"", ""雕塑艺术作品""]","""作品艺术水准""","[""雕塑工作室"", ""艺术创作现场""]","[""艺术收藏家"", ""公共艺术建设单位"", ""美术馆/博物馆""]",专业/项目负责
四级,2-09-05-04,书法家,使用毛笔及其他工具，在纸张、绢帛等依托物上，以汉字楷、行、草、隶、篆等书体为基础进行书法艺术创作的专业人员。,"1.构想书法作品的内容和形式
2.选择书写工具和材料
3.确定书体和书法风格及书写形式
4.动手书写，完成具有一定风格特征的书法艺术作品。",2-09-05,2-09,2类-专业技术创制,"[""构想作品内容"", ""选择书写材料"", ""确定书体风格"", ""创作书法作品""]","[""毛笔及书写工具"", ""纸张与绢帛依托物"", ""汉字书体""]","[""书法艺术作品""]","""无明确指标""",[],[],专业/项目负责
四级,2-09-05-05,摄影家,运用摄影技术和器材，进行摄影艺术创作的专业人员。,"1.构思摄影作品的内容和形式
2.选择摄影工具和器材，确定摄影场景和对象
3.运用摄影技术和摄影器材，记录自然环境、社会现状和人民生活，完成具有一定艺术特征的摄影作品。",2-09-05,2-09,2类-专业技术创制,"[""构思摄影作品"", ""选择摄影器材"", ""确定拍摄场景"", ""创作艺术摄影作品""]","[""摄影器材"", ""拍摄场景"", ""自然环境与社会现状""]","[""艺术摄影作品""]","""无明确指标""","[""摄影工作室"", ""自然户外环境"", ""社会生活现场""]","[""艺术鉴赏者"", ""社会公众""]",专业/项目负责
四级,2-09-06-01,视觉传达设计人员,在书籍、印刷、形象识别、环境视觉等领域运用可视艺术形式，从事设计的专业人员。,"1.进行视觉传达设计调研
2.进行视觉传达设计创意与构思
3.编写视觉传达设计文案
4.绘制视觉传达设计图稿
5.进行视觉传达计算机辅助设计
6.制作、测试视觉传达模型、样品
7.选择视觉传达设计材料
8.参与工艺流程制订与工艺图纸绘制。",2-09-06,2-09,2类-专业技术创制,"[""调研视觉传达设计"", ""构思视觉传达创意"", ""绘制视觉传达图稿"", ""制作视觉传达模型"", ""绘制工艺图纸""]","[""书籍印刷品"", ""视觉识别系统"", ""环境视觉元素"", ""设计材料""]","[""视觉传达设计图稿"", ""视觉传达设计文案"", ""视觉传达模型样品""]","""无明确指标""","[""设计工作室"", ""广告创意公司"", ""企业视觉设计部门""]","[""出版机构"", ""品牌企业"", ""广告客户""]",专业/项目负责
四级,2-09-06-02,服装设计人员,从事服装成衣、个人定制服装、戏剧影视舞台艺术服装、特种服装及服装饰品等创意风格、款式造型等设计的专业人员。,"1.研究、分析服装及饰品搭配的国际国内流行信息与市场信息
2.制订服装及饰品的设计方案并组织实施
3.设计服装及饰品的创意风格及款式造型，绘制效果图
4.提出服装及饰品的面料、色彩、辅料、里料、用线、纽扣、拉锁等使用意见
5.指导服装样品制作，调整、修改设计方案
6.参与制订服装及饰品的营销方案。",2-09-06,2-09,2类-专业技术创制,"[""研究分析流行信息"", ""制订服装设计方案"", ""设计款式造型"", ""绘制服装效果图"", ""指导样品制作""]","[""服装款式造型"", ""服装饰品"", ""面辅料材质"", ""流行市场信息""]","[""服装设计方案"", ""服装效果图"", ""服装样品""]","""无明确指标""","[""服装设计工作室"", ""服装生产企业"", ""艺术剧组现场""]","[""服装消费者"", ""定制客户"", ""服装生产企业""]",专业/项目负责
四级,2-09-06-03,动画设计人员,从事动画、漫画、游戏项目创意、设计、开发制作的专业人员。,"1.进行动画、漫画、游戏项目创意构思，制订设计方案
2.进行剧本分镜头设计
3.进行项目的场景、角色、特效设计
4.制订关键画设计和绘制标准，并指导实施
5.进行特殊要求偶片人物及动画、游戏环境设计与制作
6.开发制作动画、漫画、游戏产品及衍生品
7.进行模型、样品制作与测试
8.参与动画、漫画、游戏工艺流程制订与工艺图纸绘制。",2-09-06,2-09,2类-专业技术创制,"[""构思项目创意"", ""设计剧本分镜头"", ""设计场景角色特效"", ""开发动画游戏产品"", ""绘制工艺图纸""]","[""动画漫画游戏项目"", ""剧本分镜头"", ""场景角色特效"", ""模型样品""]","[""项目设计方案"", ""分镜头脚本"", ""动画游戏产品""]","""无明确指标""","[""动画设计工作室"", ""游戏开发公司"", ""数字艺术工作室""]","[""动画观众"", ""游戏玩家"", ""项目委托方""]",专业/项目负责
四级,2-09-06-04,环境设计人员,在建筑、景观等相关领域，从事公共建筑室内外、居住空间、城市与社区景观等设计的专业人员。,"1.进行环境设计调研
2.进行环境设计创意与构思
3.编写环境设计文案
4.绘制环境设计图稿
5.进行环境计算机辅助设计
6.制作、测试环境模型、样品
7.选择环境设计材料
8.进行环境设计沟通与协调
9.参与工艺流程制订与工艺图纸绘制。",2-09-06,2-09,2类-专业技术创制,"[""环境设计调研"", ""环境设计创意构思"", ""绘制环境设计图稿"", ""制作环境模型样品"", ""绘制工艺图纸""]","[""公共建筑空间"", ""居住空间"", ""城市社区景观"", ""环境设计材料""]","[""环境设计文案"", ""环境设计图稿"", ""环境模型样品"", ""工艺图纸""]","""无明确指标""","[""建筑设计工作室"", ""景观设计事务所"", ""工程施工现场""]","[""项目业主"", ""城市规划部门"", ""空间使用人员""]",专业/项目负责
四级,2-09-06-05,染织艺术设计人员,从事织物图案、色彩等艺术风格设计的人员。,"1.调查、分析染织品市场信息和流行趋势，提炼流行要素
2.分析产品用途，进行市场定位，研究设计方向
3.设计织物图案、色彩等的艺术风格，绘制效果图
4.制作产品，调整、修改设计方案
5.参与产品生产工艺流程制订。",2-09-06,2-09,2类-专业技术创制,"[""分析染织市场趋势"", ""研究设计方向"", ""设计织物图案"", ""绘制艺术效果图"", ""制订生产工艺流程""]","[""染织品市场信息"", ""织物图案色彩"", ""产品生产工艺""]","[""织物效果图"", ""染织设计方案"", ""生产工艺流程单""]","""设计方案采纳率""","[""纺织设计工作室"", ""面料研发中心""]","[""纺织生产企业"", ""服装品牌商""]",专业/项目负责
四级,2-09-06-06,工艺美术专业人员,从事传统工艺美术品和现代实用工艺产品的设计、制作的专业人员。,"1.收集民俗、民风素材，分析工艺美术品收藏和消费市场需求
2.进行工艺美术设计构思、筛选与新产品创意
3.编写工艺美术设计文案，绘制设计图稿
4.进行工艺美术品计算机辅助设计
5.研究、选择制作工艺美术品材料
6.创作工艺美术作品，制作工艺美术产品模型和样品
7.绘制工艺美术品的生产图样，设计生产工艺
8.研究工艺美术品数字技术的应用。",2-09-06,2-09,2类-专业技术创制,"[""分析市场需求"", ""构思产品创意"", ""绘制设计图稿"", ""创作工艺美术作品"", ""设计生产工艺""]","[""工艺美术品"", ""实用工艺产品"", ""民俗民风素材"", ""制作材料""]","[""工艺美术设计图稿"", ""工艺美术产品模型"", ""生产工艺图样""]","""作品艺术质量""","[""工艺美术工作室"", ""艺术设计中心"", ""数字化设计工作站""]","[""工艺品收藏家"", ""工艺产品消费者"", ""生产制造企业""]",专业/项目负责
四级,2-09-06-07,数字媒体艺术专业人员S,在广播、电视、网络、电影、会展、娱乐等领域，从事数字艺术、媒体、游戏、动画、图形与图像、界面、交互设计的专业人员。,"1.进行数字媒体艺术设计调研
2.进行数字媒体艺术设计创意与构思
3.进行数字媒体艺术设计文案编写
4.进行数字媒体艺术设计图稿绘制
5.进行数字媒体艺术计算机辅助设计
6.进行数字媒体艺术原型制作、测试
7.参与数字媒体艺术软件和代码编写。",2-09-06,2-09,2类-专业技术创制,"[""调研数字媒体艺术设计"", ""构思数字媒体艺术创意"", ""编写数字媒体艺术文案"", ""绘制数字媒体艺术图稿"", ""制作数字媒体艺术原型""]","[""数字媒体艺术作品"", ""交互界面"", ""数字动画"", ""游戏图形图像""]","[""数字媒体艺术设计文案"", ""数字媒体艺术设计图稿"", ""数字媒体艺术原型""]","""无明确指标""","[""数字媒体工作室"", ""广播电视制作中心"", ""游戏开发公司"", ""电影后期制作公司""]","[""数字媒体用户"", ""影视观众"", ""游戏玩家"", ""会展参与者""]",专业/项目负责
四级,2-09-06-08,公共艺术专业人员,从事室内外公共空间艺术景观、设施、装置设计的专业人员。,"1.进行公共艺术设计调研
2.进行公共艺术设计创意与构思
3.编写公共艺术设计文案
4.绘制公共艺术设计图稿
5.进行公共艺术计算机辅助设计
6.制作、测试公共艺术模型、样品
7.进行公共艺术进行材料选择
8.参与工艺流程制订与工艺图纸绘制。",2-09-06,2-09,2类-专业技术创制,"[""调研公共艺术设计"", ""构思公共艺术创意"", ""绘制公共艺术图稿"", ""制作测试艺术模型"", ""制订公共艺术工艺流程""]","[""室内外公共空间"", ""艺术景观"", ""艺术设施"", ""艺术装置""]","[""公共艺术设计文案"", ""公共艺术设计图稿"", ""公共艺术模型样品""]","""无明确指标""","[""艺术设计工作室"", ""公共空间现场"", ""模型制作车间""]","[""建设单位"", ""城市规划部门"", ""社会公众""]",专业/项目负责
四级,2-09-06-09,陈列展览设计人员,从事陈列展览研究与策划、设计工作的人员。,"1.进行陈列展览总体策划，制订工作计划
2.确定展品，编制陈列展览的内容设计文本，撰写文字说明
3.进行陈列展览总体布局、展品组合和展具、灯光等形式设计
4.进行辅助展品和展具的制作
5.安装、布置、检查、监督陈列设备和展品。",2-09-06,2-09,2类-专业技术创制,"[""策划陈列展览"", ""编制内容设计文本"", ""设计展览总体布局"", ""制作辅助展具"", ""监督展品安装""]","[""陈列展览"", ""展品"", ""展具灯光"", ""设计文本""]","[""陈列展览工作计划"", ""展览内容设计文本"", ""展品文字说明""]","""展览呈现效果""","[""展览馆"", ""博物馆"", ""展会现场""]","[""展览主办方"", ""参观观众""]",专业/项目负责
四级,2-09-07-01,教练员,在体育运动训练和竞赛中，培养、训练和指导运动员的专业人员。,"1.进行运动员综合素质、职业道德规范、体育竞技规则的教育培养
2.指导运动员进行技战术等专项训练，提高运动水平
3.制订训练计划和参赛方案
4.指导运动员进行比赛。",2-09-07,2-09,2类-专业技术创制,"[""教育培养运动员素质"", ""指导技战术训练"", ""制订训练计划"", ""指导体育比赛""]","[""运动员"", ""体育竞技规则"", ""技战术方案""]","[""训练计划"", ""参赛方案""]","""运动员运动水平""","[""体育场馆"", ""训练基地"", ""比赛现场""]","[""运动员""]",专业/项目负责
四级,2-09-07-02,裁判员,在体育运动竞赛中，依据竞赛规程、规则和裁判法，对竞赛过程进行管理，对结果进行成绩、胜负和名次裁定或评定的专业人员。,"1.依据竞赛规程、规则，启动体育比赛
2.依据竞赛规程、规则，管理比赛过程
3.对违规者依照竞赛规则给予相应的判罚
4.依据竞赛规程、规则，评定比赛结果。",2-09-07,2-09,2类-专业技术创制,"[""启动体育比赛"", ""管理比赛过程"", ""判罚违规行为"", ""评定比赛结果""]","[""体育比赛过程"", ""竞赛规程规则"", ""违规参赛人员"", ""比赛成绩结果""]","[""比赛成绩单"", ""违规判罚记录"", ""胜负名次裁定书""]","""判罚准确率""","[""体育场馆"", ""竞赛场地""]","[""参赛运动员"", ""体育竞赛组织方""]",一线执行
四级,2-09-07-03,运动员,从事各类运动项目训练和比赛的专业人员。,"1.在教练员的指导下，进行体育专项训练，提高运动能力和技术水平
2.参加各级各类比赛，争取优异的运动成绩。",2-09-07,2-09,2类-专业技术创制,"[""进行体育专项训练"", ""参加体育赛事"", ""提升运动技术水平""]","[""体育专项项目"", ""运动技术指标"", ""体育赛事""]","[""比赛成绩单"", ""体育奖牌证书"", ""专项训练记录""]","""运动比赛成绩/排名""","[""体育训练基地"", ""体育场馆"", ""赛事比赛现场""]","[""体育代表团"", ""体育俱乐部""]",一线执行
四级,2-09-07-04,运动防护师,从事运动损伤和疾病预防、评估、急救、治疗、康复的专业人员。,"1.评估运动损伤和疾病等内外部风险
2.制订与实施运动损伤和疾病的预防措施
3.进行运动损伤和疾病的现场急救
4.评估与治疗运动损伤和疾病
5.指导运动损伤和疾病的康复
6.进行运动防护宣传教育和管理。",2-09-07,2-09,2类-专业技术创制,"[""评估运动风险"", ""制订预防措施"", ""进行现场急救"", ""治疗运动损伤"", ""指导康复训练""]","[""运动损伤"", ""运动疾病"", ""内外部风险因素""]","[""运动风险评估报告"", ""运动损伤预防方案"", ""康复指导计划""]","""运动损伤康复率""","[""体育场馆"", ""运动训练基地"", ""专业康复中心""]","[""职业运动员"", ""运动爱好者""]",专业/项目负责
四级,2-09-07-05,体育经理人,在体育组织中，从事赛事运作、场馆运营、项目管理的专业人员。,"1.研究、制订运动项目的竞赛管理、项目规划、商务开发方案，并推广实施
2.实施体育赛事的运作与组织、商务开发与推广、品牌与票务营销
3.运营管理体育场馆和体育设施，组织开展场馆公共服务
4.规划、管理职业体育俱乐部的竞赛组织和运动员训练保障，进行俱乐部的商务开发与运营
5.提供体育营销策划与体育项目运营管理咨询服务。",2-09-07,2-09,2类-专业技术创制,"[""制订竞赛管理方案"", ""运作体育赛事"", ""运营体育场馆"", ""管理职业体育俱乐部"", ""提供体育营销策划""]","[""运动项目"", ""体育赛事"", ""体育场馆"", ""职业体育俱乐部""]","[""竞赛管理方案"", ""商务开发方案"", ""体育营销策划书""]","""赛事运营效益""","[""体育场馆"", ""体育俱乐部办公区"", ""赛事现场""]","[""体育组织"", ""运动员"", ""商业赞助商""]",专业/项目负责
四级,2-10-01-01,文字记者,从事新闻采访并以文字形式撰写新闻报道及作品的专业人员。,"1.运用观察、访问、调查等方式，收集有新闻价值的素材
2.确定题目和构思作品
3.撰写新闻报道及作品
4.提供新闻报告及作品
5.审读、审听、审看拟发表、播出、登载的新闻报告及作品。",2-10-01,2-10,2类-专业技术创制,"[""收集新闻素材"", ""构思新闻作品"", ""撰写新闻报道"", ""审读新闻作品""]","[""新闻素材"", ""新闻报道"", ""新闻作品""]","[""新闻报道"", ""新闻作品"", ""新闻报告""]","""无明确指标""","[""新闻采访现场"", ""媒体编辑部""]","[""社会公众"", ""媒体机构""]",专业/项目负责
四级,2-10-01-02,摄影记者,从事新闻采访并以图片、影像形式提供新闻报道及作品的专业人员。,"1.使用摄影器材，捕捉有新闻价值的画面及素材
2.提供图片影像新闻及作品
3.审听、审看拟发表、播出、登载的图片影像及作品。",2-10-01,2-10,2类-专业技术创制,"[""捕捉新闻画面素材"", ""提供图片影像作品"", ""审看图片影像作品""]","[""新闻画面素材"", ""图片影像作品"", ""摄影器材""]","[""图片新闻报道"", ""影像新闻作品""]","""作品采纳率""","[""新闻采访现场"", ""新闻编辑室""]","[""新闻受众"", ""新闻出版机构""]",专业/项目负责
四级,2-10-02-01,文字编辑,从事稿件的策划、组织、审读、加工的专业人员。,"1.策划选题，拟定编辑方案
2.组织稿件，物色作者
3.审读和选择稿件
4.加工、整理稿件。",2-10-02,2-10,2类-专业技术创制,"[""策划选题"", ""拟定编辑方案"", ""物色作者"", ""审读选择稿件"", ""加工整理稿件""]","[""出版选题"", ""编辑方案"", ""文学/专业稿件"", ""作者/撰稿人""]","[""编辑方案"", ""审读报告"", ""出版成稿""]","""出版成稿质量""","[""出版社编辑部"", ""报社编辑室"", ""数字出版平台""]","[""读者群体"", ""作者/撰稿人"", ""出版机构""]",专业/项目负责
