源编码,目标实体,关系类型
2-05-02-05,治疗,INVOLVES_ACTION
2-05-02-05,预防,INVOLVES_ACTION
2-05-02-05,眼科疾病,TARGETS_OBJECT
2-05-02-05,处方,TARGETS_OBJECT
2-05-02-05,病历,TARGETS_OBJECT
2-05-02-06,诊断,INVOLVES_ACTION
2-05-02-06,治疗,INVOLVES_ACTION
2-05-02-06,预防,INVOLVES_ACTION
2-05-02-06,皮肤科疾病,TARGETS_OBJECT
2-05-02-06,处方,TARGETS_OBJECT
2-05-02-06,病历,TARGETS_OBJECT
2-05-02-07,诊断,INVOLVES_ACTION
2-05-02-07,治疗,INVOLVES_ACTION
2-05-02-07,康复,INVOLVES_ACTION
2-05-02-07,骨伤科疾病,TARGETS_OBJECT
2-05-02-07,病历,TARGETS_OBJECT
2-05-02-07,患者,TARGETS_OBJECT
2-05-02-08,诊断,INVOLVES_ACTION
2-05-02-08,治疗,INVOLVES_ACTION
2-05-02-08,制订,INVOLVES_ACTION
2-05-02-08,肛肠科疾病,TARGETS_OBJECT
2-05-02-08,处方,TARGETS_OBJECT
2-05-02-08,病历,TARGETS_OBJECT
2-05-02-09,诊断,INVOLVES_ACTION
2-05-02-09,治疗,INVOLVES_ACTION
2-05-02-09,康复,INVOLVES_ACTION
2-05-02-09,耳鼻咽喉科疾病,TARGETS_OBJECT
2-05-02-09,处方,TARGETS_OBJECT
2-05-02-09,病历,TARGETS_OBJECT
2-05-02-10,诊断,INVOLVES_ACTION
2-05-02-10,治疗,INVOLVES_ACTION
2-05-02-10,预防,INVOLVES_ACTION
2-05-02-10,人体疾病,TARGETS_OBJECT
2-05-02-10,病历,TARGETS_OBJECT
2-05-02-10,治疗方案,TARGETS_OBJECT
2-05-02-11,诊断,INVOLVES_ACTION
2-05-02-11,治疗,INVOLVES_ACTION
2-05-02-11,预防,INVOLVES_ACTION
2-05-02-11,疾病,TARGETS_OBJECT
2-05-02-11,病历,TARGETS_OBJECT
2-05-02-11,患者,TARGETS_OBJECT
2-05-02-12,诊断,INVOLVES_ACTION
2-05-02-12,评估,INVOLVES_ACTION
2-05-02-12,制订,INVOLVES_ACTION
2-05-02-12,人体营养情况,TARGETS_OBJECT
2-05-02-12,膳食计划,TARGETS_OBJECT
2-05-02-12,病历,TARGETS_OBJECT
2-05-02-13,诊断,INVOLVES_ACTION
2-05-02-13,治疗,INVOLVES_ACTION
2-05-02-13,预防,INVOLVES_ACTION
2-05-02-13,脊柱伤病,TARGETS_OBJECT
2-05-02-13,脊髓性疾病,TARGETS_OBJECT
2-05-02-13,病历,TARGETS_OBJECT
2-05-02-14,诊断,INVOLVES_ACTION
2-05-02-14,制订计划,INVOLVES_ACTION
2-05-02-14,康复治疗,INVOLVES_ACTION
2-05-02-14,患者,TARGETS_OBJECT
2-05-02-14,病历,TARGETS_OBJECT
2-05-02-14,中医药理论,TARGETS_OBJECT
2-05-02-15,诊断,INVOLVES_ACTION
2-05-02-15,治疗,INVOLVES_ACTION
2-05-02-15,健康管理,INVOLVES_ACTION
2-05-02-15,常见病与慢性病,TARGETS_OBJECT
2-05-02-15,重点人群,TARGETS_OBJECT
2-05-02-15,健康管理档案,TARGETS_OBJECT
2-05-02-15,社区,OPERATES_IN_ENV
2-05-02-15,居家,OPERATES_IN_ENV
2-05-02-16,测评,INVOLVES_ACTION
2-05-02-16,调理,INVOLVES_ACTION
2-05-02-16,咨询,INVOLVES_ACTION
2-05-02-16,亚健康人群,TARGETS_OBJECT
2-05-02-16,亚健康状态,TARGETS_OBJECT
2-05-02-16,调理方案,TARGETS_OBJECT
2-05-03,诊断,INVOLVES_ACTION
2-05-03,治疗,INVOLVES_ACTION
2-05-03,康复,INVOLVES_ACTION
2-05-03,预防,INVOLVES_ACTION
2-05-03,人体疾病,TARGETS_OBJECT
2-05-03,医疗机构,OPERATES_IN_ENV
2-05-03,预防机构,OPERATES_IN_ENV
2-05-03,保健机构,OPERATES_IN_ENV
2-05-03-01,预防,INVOLVES_ACTION
2-05-03-01,诊断,INVOLVES_ACTION
2-05-03-01,治疗,INVOLVES_ACTION
2-05-03-01,康复,INVOLVES_ACTION
2-05-03-01,内科疾病,TARGETS_OBJECT
2-05-03-01,患者,TARGETS_OBJECT
2-05-03-02,诊断,INVOLVES_ACTION
2-05-03-02,治疗,INVOLVES_ACTION
2-05-03-02,预防,INVOLVES_ACTION
2-05-03-02,外科疾病,TARGETS_OBJECT
2-05-03-02,患者,TARGETS_OBJECT
2-05-03-03,预防,INVOLVES_ACTION
2-05-03-03,诊断,INVOLVES_ACTION
2-05-03-03,治疗,INVOLVES_ACTION
2-05-03-03,康复,INVOLVES_ACTION
2-05-03-03,妇科疾病,TARGETS_OBJECT
2-05-03-03,患者,TARGETS_OBJECT
2-05-03-04,预防,INVOLVES_ACTION
2-05-03-04,诊断,INVOLVES_ACTION
2-05-03-04,治疗,INVOLVES_ACTION
2-05-03-04,康复,INVOLVES_ACTION
2-05-03-04,儿科疾病,TARGETS_OBJECT
2-05-03-04,患者,TARGETS_OBJECT
2-05-03-05,诊断,INVOLVES_ACTION
2-05-03-05,治疗,INVOLVES_ACTION
2-05-03-05,康复,INVOLVES_ACTION
2-05-03-05,骨伤科疾病,TARGETS_OBJECT
2-05-03-05,患者,TARGETS_OBJECT
2-05-03-05,病历,TARGETS_OBJECT
2-05-03-06,诊断,INVOLVES_ACTION
2-05-03-06,治疗,INVOLVES_ACTION
2-05-03-06,预防,INVOLVES_ACTION
2-05-03-06,肛肠科疾病,TARGETS_OBJECT
2-05-03-06,患者,TARGETS_OBJECT
2-05-03-07,诊断,INVOLVES_ACTION
2-05-03-07,治疗,INVOLVES_ACTION
2-05-03-07,预防,INVOLVES_ACTION
2-05-03-07,皮肤与性病科疾病,TARGETS_OBJECT
2-05-03-07,患者,TARGETS_OBJECT
2-05-04,诊断,INVOLVES_ACTION
2-05-04,治疗,INVOLVES_ACTION
2-05-04,康复,INVOLVES_ACTION
2-05-04,预防,INVOLVES_ACTION
2-05-04,人体疾病,TARGETS_OBJECT
2-05-04-00,诊断,INVOLVES_ACTION
2-05-04-00,治疗,INVOLVES_ACTION
2-05-04-00,少数民族医药理论和技术,TARGETS_OBJECT
2-05-04-00,疾病,TARGETS_OBJECT
2-05-04-00,治疗方案,TARGETS_OBJECT
2-05-05,监督,INVOLVES_ACTION
2-05-05,监测,INVOLVES_ACTION
2-05-05,卫生防病,TARGETS_OBJECT
2-05-05,公共卫生,TARGETS_OBJECT
2-05-05-01,监测,INVOLVES_ACTION
2-05-05-01,分析,INVOLVES_ACTION
2-05-05-01,调查,INVOLVES_ACTION
2-05-05-01,疾病,TARGETS_OBJECT
2-05-05-01,危险因素,TARGETS_OBJECT
2-05-05-01,高危人群,TARGETS_OBJECT
2-05-05-01,疾病预防控制机构,OPERATES_IN_ENV
2-05-05-02,评估,INVOLVES_ACTION
2-05-05-02,干预,INVOLVES_ACTION
2-05-05-02,健康素养,TARGETS_OBJECT
2-05-05-02,健康知识,TARGETS_OBJECT
2-05-05-02,行为危险因素,TARGETS_OBJECT
2-05-05-02,社区,OPERATES_IN_ENV
2-05-05-02,医院,OPERATES_IN_ENV
2-05-05-02,学校,OPERATES_IN_ENV
2-05-05-02,企事业单位,OPERATES_IN_ENV
2-05-05-03,调查,INVOLVES_ACTION
2-05-05-03,监测,INVOLVES_ACTION
2-05-05-03,评价,INVOLVES_ACTION
2-05-05-03,健康危害因素,TARGETS_OBJECT
2-05-05-03,食品,TARGETS_OBJECT
2-05-05-03,从业人员,TARGETS_OBJECT
2-05-05-03,公共场所,OPERATES_IN_ENV
2-05-05-03,工作场所,OPERATES_IN_ENV
2-05-05-03,学校环境,OPERATES_IN_ENV
2-05-06,配置,INVOLVES_ACTION
2-05-06,分发,INVOLVES_ACTION
2-05-06,辅助,INVOLVES_ACTION
2-05-06,药物,TARGETS_OBJECT
2-05-06,处方,TARGETS_OBJECT
2-05-06,医疗机构,OPERATES_IN_ENV
2-05-06,预防机构,OPERATES_IN_ENV
2-05-06,药品供应机构,OPERATES_IN_ENV
2-05-06-01,配置,INVOLVES_ACTION
2-05-06-01,调剂,INVOLVES_ACTION
2-05-06-01,监测,INVOLVES_ACTION
2-05-06-01,药品,TARGETS_OBJECT
2-05-06-01,处方,TARGETS_OBJECT
2-05-06-01,用药建议,TARGETS_OBJECT
2-05-06-01,医疗机构,OPERATES_IN_ENV
2-05-06-01,药品经营生产单位,OPERATES_IN_ENV
2-05-06-01,科研单位,OPERATES_IN_ENV
2-05-06-02,购销储存,INVOLVES_ACTION
2-05-06-02,加工炮制,INVOLVES_ACTION
2-05-06-02,调配复核,INVOLVES_ACTION
2-05-06-02,中药药品,TARGETS_OBJECT
2-05-06-02,饮片,TARGETS_OBJECT
2-05-06-02,处方,TARGETS_OBJECT
2-05-06-02,医疗机构,OPERATES_IN_ENV
2-05-06-03,购销储存,INVOLVES_ACTION
2-05-06-03,加工炮制,INVOLVES_ACTION
2-05-06-03,质量检验,INVOLVES_ACTION
2-05-06-03,民族药,TARGETS_OBJECT
2-05-06-03,药材,TARGETS_OBJECT
2-05-06-03,处方,TARGETS_OBJECT
2-05-06-03,医疗单位,OPERATES_IN_ENV
2-05-06-03,医院,OPERATES_IN_ENV
2-05-07,医疗设备,TARGETS_OBJECT
2-05-07,预防设备,TARGETS_OBJECT
2-05-07,临床服务,TARGETS_OBJECT
2-05-07,医疗机构,OPERATES_IN_ENV
2-05-07,预防保健机构,OPERATES_IN_ENV
2-05-07-01,操作,INVOLVES_ACTION
2-05-07-01,检测,INVOLVES_ACTION
2-05-07-01,医学成像设备,TARGETS_OBJECT
2-05-07-01,患者身体内部结构影像,TARGETS_OBJECT
2-05-07-02,制作,INVOLVES_ACTION
2-05-07-02,设计,INVOLVES_ACTION
2-05-07-02,诊疗,INVOLVES_ACTION
2-05-07-02,口腔修复体,TARGETS_OBJECT
2-05-07-02,口腔矫治器,TARGETS_OBJECT
2-05-07-02,义齿,TARGETS_OBJECT
2-05-07-03,制作,INVOLVES_ACTION
2-05-07-03,染色,INVOLVES_ACTION
2-05-07-03,维护,INVOLVES_ACTION
2-05-07-03,标本切片,TARGETS_OBJECT
2-05-07-03,病理档案,TARGETS_OBJECT
2-05-07-03,仪器设备,TARGETS_OBJECT
2-05-07-03,病理科,OPERATES_IN_ENV
2-05-07-04,接收采集,INVOLVES_ACTION
2-05-07-04,检验分析,INVOLVES_ACTION
2-05-07-04,维护保养,INVOLVES_ACTION
2-05-07-04,人体标本,TARGETS_OBJECT
2-05-07-04,检验报告,TARGETS_OBJECT
2-05-07-04,仪器设备,TARGETS_OBJECT
2-05-07-04,实验室,OPERATES_IN_ENV
2-05-07-05,分离和鉴定,INVOLVES_ACTION
2-05-07-05,检验,INVOLVES_ACTION
2-05-07-05,监测,INVOLVES_ACTION
2-05-07-05,病原体,TARGETS_OBJECT
2-05-07-05,食品,TARGETS_OBJECT
2-05-07-05,物理化学因素,TARGETS_OBJECT
2-05-07-05,公共卫生,OPERATES_IN_ENV
2-05-07-05,生产生活场所,OPERATES_IN_ENV
2-05-07-06,设计,INVOLVES_ACTION
2-05-07-06,审查,INVOLVES_ACTION
2-05-07-06,评价,INVOLVES_ACTION
2-05-07-06,卫生防护措施,TARGETS_OBJECT
2-05-07-06,建设性工程项目,TARGETS_OBJECT
2-05-07-06,现场,OPERATES_IN_ENV
2-05-07-07,采集,INVOLVES_ACTION
2-05-07-07,制备,INVOLVES_ACTION
2-05-07-07,检测,INVOLVES_ACTION
2-05-07-07,血液,TARGETS_OBJECT
2-05-07-07,成分血,TARGETS_OBJECT
2-05-07-07,血液质量,TARGETS_OBJECT
2-05-07-08,筛查,INVOLVES_ACTION
2-05-07-08,评估,INVOLVES_ACTION
2-05-07-08,制订,INVOLVES_ACTION
2-05-07-08,营养风险,TARGETS_OBJECT
2-05-07-08,治疗方案,TARGETS_OBJECT
2-05-07-08,治疗饮食,TARGETS_OBJECT
2-05-07-08,医院,OPERATES_IN_ENV
2-05-07-09,检测,INVOLVES_ACTION
2-05-07-09,评价,INVOLVES_ACTION
2-05-07-09,指导,INVOLVES_ACTION
2-05-07-09,消毒产品,TARGETS_OBJECT
2-05-07-09,消毒工作,TARGETS_OBJECT
2-05-07-09,医疗废物,TARGETS_OBJECT
2-05-07-09,医院,OPERATES_IN_ENV
2-05-07-09,疫区,OPERATES_IN_ENV
2-05-07-09,灾区,OPERATES_IN_ENV
2-05-07-10,设计,INVOLVES_ACTION
2-05-07-10,操作,INVOLVES_ACTION
2-05-07-10,维护,INVOLVES_ACTION
2-05-07-10,放射治疗计划,TARGETS_OBJECT
2-05-07-10,肿瘤放射设备,TARGETS_OBJECT
2-05-07-10,放疗剂量,TARGETS_OBJECT
2-05-07-11,操作,INVOLVES_ACTION
2-05-07-11,描记,INVOLVES_ACTION
2-05-07-11,出具,INVOLVES_ACTION
2-05-07-11,心电学设备,TARGETS_OBJECT
2-05-07-11,心电图,TARGETS_OBJECT
2-05-07-11,报告,TARGETS_OBJECT
2-05-07-12,操作,INVOLVES_ACTION
2-05-07-12,采集,INVOLVES_ACTION
2-05-07-12,记录分析,INVOLVES_ACTION
2-05-07-12,脑电图设备,TARGETS_OBJECT
2-05-07-12,诱发电位仪,TARGETS_OBJECT
2-05-07-12,脑电图资料,TARGETS_OBJECT
2-05-07-13,询问和检查,INVOLVES_ACTION
2-05-07-13,制订,INVOLVES_ACTION
2-05-07-13,患者,TARGETS_OBJECT
2-05-07-13,康复治疗计划,TARGETS_OBJECT
2-05-07-13,康复训练,TARGETS_OBJECT
2-05-07-13,社区,OPERATES_IN_ENV
2-05-07-14,获取,INVOLVES_ACTION
2-05-07-14,评估,INVOLVES_ACTION
2-05-07-14,制订,INVOLVES_ACTION
2-05-07-14,心理问题,TARGETS_OBJECT
2-05-07-14,心理干预方案,TARGETS_OBJECT
2-05-07-14,来访者,TARGETS_OBJECT
2-05-07-15,收集,INVOLVES_ACTION
2-05-07-15,整理,INVOLVES_ACTION
2-05-07-15,编码,INVOLVES_ACTION
2-05-07-15,病案信息,TARGETS_OBJECT
2-05-07-15,医疗工作量,TARGETS_OBJECT
2-05-07-15,疾病分类,TARGETS_OBJECT
2-05-07-15,医院,OPERATES_IN_ENV
2-05-07-16,采集,INVOLVES_ACTION
2-05-07-16,操作,INVOLVES_ACTION
2-05-07-16,患者信息,TARGETS_OBJECT
2-05-07-16,中医诊疗设备,TARGETS_OBJECT
2-05-07-16,预防和康复工作,TARGETS_OBJECT
2-05-07-17,洁治,INVOLVES_ACTION
2-05-07-17,刮治,INVOLVES_ACTION
2-05-07-17,筛查,INVOLVES_ACTION
2-05-07-17,口腔牙菌斑,TARGETS_OBJECT
2-05-07-17,口腔癌症,TARGETS_OBJECT
2-05-07-17,牙齿,TARGETS_OBJECT
2-05-08,护理,INVOLVES_ACTION
2-05-08,辅助医疗,INVOLVES_ACTION
2-05-08,指导康复,INVOLVES_ACTION
2-05-08,预防保健,INVOLVES_ACTION
2-05-08,健康教育,INVOLVES_ACTION
2-05-08,患者,TARGETS_OBJECT
2-05-08,社会人群,TARGETS_OBJECT
2-05-08-01,制订,INVOLVES_ACTION
2-05-08-01,观察,INVOLVES_ACTION
2-05-08-01,护理计划,TARGETS_OBJECT
2-05-08-01,医嘱,TARGETS_OBJECT
2-05-08-01,患者,TARGETS_OBJECT
2-05-08-02,制订,INVOLVES_ACTION
2-05-08-02,观察,INVOLVES_ACTION
2-05-08-02,护理计划,TARGETS_OBJECT
2-05-08-02,医嘱,TARGETS_OBJECT
2-05-08-02,患儿,TARGETS_OBJECT
2-05-08-03,抢救,INVOLVES_ACTION
2-05-08-03,护理,INVOLVES_ACTION
2-05-08-03,健康教育,INVOLVES_ACTION
2-05-08-03,急诊患者,TARGETS_OBJECT
2-05-08-03,急救药品,TARGETS_OBJECT
2-05-08-03,器材,TARGETS_OBJECT
2-05-08-03,急诊科,OPERATES_IN_ENV
2-05-08-04,制订,INVOLVES_ACTION
2-05-08-04,观察,INVOLVES_ACTION
2-05-08-04,护理康复计划,TARGETS_OBJECT
2-05-08-04,医嘱,TARGETS_OBJECT
2-05-08-04,患者,TARGETS_OBJECT
2-05-08-05,配合,INVOLVES_ACTION
2-05-08-05,健康档案,TARGETS_OBJECT
2-05-08-05,公共卫生服务,TARGETS_OBJECT
2-05-08-05,重点人群,TARGETS_OBJECT
2-05-08-05,社区,OPERATES_IN_ENV
2-05-08-06,接生,INVOLVES_ACTION
2-05-08-06,护理,INVOLVES_ACTION
2-05-08-06,咨询,INVOLVES_ACTION
2-05-08-06,产妇,TARGETS_OBJECT
2-05-08-06,新生儿,TARGETS_OBJECT
2-05-08-06,医疗记录,TARGETS_OBJECT
2-05-08-07,配合,INVOLVES_ACTION
2-05-08-07,教育,INVOLVES_ACTION
2-05-08-07,口腔疾病,TARGETS_OBJECT
2-05-08-07,患者,TARGETS_OBJECT
2-05-08-07,诊疗器械,TARGETS_OBJECT
2-05-08-07,口腔科,OPERATES_IN_ENV
2-05-08-07,社区,OPERATES_IN_ENV
2-05-08-08,制订,INVOLVES_ACTION
2-05-08-08,观察,INVOLVES_ACTION
2-05-08-08,护理计划,TARGETS_OBJECT
2-05-08-08,产妇,TARGETS_OBJECT
2-05-08-08,妇科疾病患者,TARGETS_OBJECT
2-05-08-09,制订,INVOLVES_ACTION
2-05-08-09,护理计划,TARGETS_OBJECT
2-05-08-09,医嘱,TARGETS_OBJECT
2-05-08-09,健康教育,TARGETS_OBJECT
2-05-08-09,社区,OPERATES_IN_ENV
2-05-09,基本公共卫生,TARGETS_OBJECT
2-05-09,基本医疗服务,TARGETS_OBJECT
2-05-09,村卫生室,OPERATES_IN_ENV
2-05-09-00,收集,INVOLVES_ACTION
2-05-09-00,公共卫生服务,TARGETS_OBJECT
2-05-09-00,常见病,TARGETS_OBJECT
2-05-09-00,居民健康,TARGETS_OBJECT
2-05-09-00,村卫生室,OPERATES_IN_ENV
2-05-10,治疗,INVOLVES_ACTION
2-05-10,康复,INVOLVES_ACTION
2-05-10,预防,INVOLVES_ACTION
2-05-10,相关疾病,TARGETS_OBJECT
2-05-10,医疗机构,OPERATES_IN_ENV
2-05-10-00,治疗,INVOLVES_ACTION
2-05-10-00,康复,INVOLVES_ACTION
2-05-10-00,预防,INVOLVES_ACTION
2-05-10-00,相关疾病,TARGETS_OBJECT
2-05-10-00,患者,TARGETS_OBJECT
2-05-10-00,医疗机构,OPERATES_IN_ENV
2-05-99,卫生专业技术人员,TARGETS_OBJECT
2-06-01,编制,INVOLVES_ACTION
2-06-01,监控,INVOLVES_ACTION
2-06-01,行业经营,TARGETS_OBJECT
2-06-01,资金,TARGETS_OBJECT
2-06-01,价格,TARGETS_OBJECT
2-06-01,工作计划,TARGETS_OBJECT
2-06-01-01,编制,INVOLVES_ACTION
2-06-01-01,监督,INVOLVES_ACTION
2-06-01-01,评估,INVOLVES_ACTION
2-06-01-01,发展规划,TARGETS_OBJECT
2-06-01-01,经营计划,TARGETS_OBJECT
2-06-01-02,制订,INVOLVES_ACTION
2-06-01-02,指导,INVOLVES_ACTION
2-06-01-02,合作经济组织,TARGETS_OBJECT
2-06-01-02,发展规划,TARGETS_OBJECT
2-06-01-02,社会化服务,TARGETS_OBJECT
2-06-01-03,分析,INVOLVES_ACTION
2-06-01-03,设计,INVOLVES_ACTION
2-06-01-03,核定,INVOLVES_ACTION
2-06-01-03,价格状况,TARGETS_OBJECT
2-06-01-03,定价策略,TARGETS_OBJECT
2-06-01-03,生产经营成本,TARGETS_OBJECT
2-06-01-04,研究分析,INVOLVES_ACTION
2-06-01-04,评估,INVOLVES_ACTION
2-06-01-04,管理,INVOLVES_ACTION
2-06-01-04,易货贸易,TARGETS_OBJECT
2-06-01-04,信用,TARGETS_OBJECT
2-06-01-04,交易流程,TARGETS_OBJECT
2-06-02,统计调查,INVOLVES_ACTION
2-06-02,统计分析,INVOLVES_ACTION
2-06-02,统计监督检查,INVOLVES_ACTION
2-06-02,国民经济和社会宏观、微观情况,TARGETS_OBJECT
2-06-02,统计资料,TARGETS_OBJECT
2-06-02,统计咨询意见,TARGETS_OBJECT
2-06-02-00,设计,INVOLVES_ACTION
2-06-02-00,分析,INVOLVES_ACTION
2-06-02-00,监督检查,INVOLVES_ACTION
2-06-02-00,统计数据,TARGETS_OBJECT
2-06-02-00,统计调查方案,TARGETS_OBJECT
2-06-02-00,统计分析报告,TARGETS_OBJECT
2-06-03,核算,INVOLVES_ACTION
2-06-03,监督,INVOLVES_ACTION
2-06-03,会计,TARGETS_OBJECT
2-06-03,国家机关,OPERATES_IN_ENV
2-06-03,社会团体,OPERATES_IN_ENV
2-06-03,企事业单位,OPERATES_IN_ENV
2-06-03,经济组织,OPERATES_IN_ENV
2-06-03-00,会计核算,INVOLVES_ACTION
2-06-03-00,会计监督,INVOLVES_ACTION
2-06-03-00,制订制度,INVOLVES_ACTION
2-06-03-00,经济业务,TARGETS_OBJECT
2-06-03-00,经济活动,TARGETS_OBJECT
2-06-03-00,财务信息,TARGETS_OBJECT
2-06-03-00,国家机关,OPERATES_IN_ENV
2-06-03-00,社会团体,OPERATES_IN_ENV
2-06-03-00,企业,OPERATES_IN_ENV
2-06-03-00,事业单位,OPERATES_IN_ENV
2-06-04,监督,INVOLVES_ACTION
2-06-04,鉴证,INVOLVES_ACTION
2-06-04,评价,INVOLVES_ACTION
2-06-04,财政,TARGETS_OBJECT
2-06-04,财务收支,TARGETS_OBJECT
2-06-04,内部控制,TARGETS_OBJECT
2-06-04-00,监督,INVOLVES_ACTION
2-06-04-00,鉴证,INVOLVES_ACTION
2-06-04-00,评价,INVOLVES_ACTION
2-06-04-00,编制,INVOLVES_ACTION
2-06-04-00,分析,INVOLVES_ACTION
2-06-04-00,财政财务收支,TARGETS_OBJECT
2-06-04-00,内部控制,TARGETS_OBJECT
2-06-04-00,审计证据,TARGETS_OBJECT
2-06-04-00,审计报告,TARGETS_OBJECT
2-06-04-00,被审计单位,OPERATES_IN_ENV
2-06-05,代理,INVOLVES_ACTION
2-06-05,鉴证,INVOLVES_ACTION
2-06-05,审核,INVOLVES_ACTION
2-06-05,咨询,INVOLVES_ACTION
2-06-05,税务服务,TARGETS_OBJECT
2-06-05,税务代理,TARGETS_OBJECT
2-06-05,税务鉴证,TARGETS_OBJECT
2-06-05,税务审核,TARGETS_OBJECT
2-06-05,税务咨询,TARGETS_OBJECT
2-06-05,税务师事务所,OPERATES_IN_ENV
2-06-05,涉税专业服务机构,OPERATES_IN_ENV
2-06-05-00,代理,INVOLVES_ACTION
2-06-05-00,审核,INVOLVES_ACTION
2-06-05-00,鉴证,INVOLVES_ACTION
2-06-05-00,税务服务,TARGETS_OBJECT
2-06-05-00,纳税申报,TARGETS_OBJECT
2-06-05-00,涉税资料,TARGETS_OBJECT
2-06-05-00,税务师事务所,OPERATES_IN_ENV
2-06-05-00,涉税专业服务机构,OPERATES_IN_ENV
2-06-06,鉴定,INVOLVES_ACTION
2-06-06,估算,INVOLVES_ACTION
2-06-06,咨询,INVOLVES_ACTION
2-06-06,资产,TARGETS_OBJECT
2-06-06,资源,TARGETS_OBJECT
2-06-06-01,评定,INVOLVES_ACTION
2-06-06-01,估算,INVOLVES_ACTION
2-06-06-01,出具,INVOLVES_ACTION
2-06-06-01,资产价值,TARGETS_OBJECT
2-06-06-01,评估报告,TARGETS_OBJECT
2-06-06-01,经济权益,TARGETS_OBJECT
2-06-06-02,评估,INVOLVES_ACTION
2-06-06-02,测算,INVOLVES_ACTION
2-06-06-02,编制,INVOLVES_ACTION
2-06-06-02,房地产价值,TARGETS_OBJECT
2-06-06-02,估价报告,TARGETS_OBJECT
2-06-06-02,资产评估咨询服务,TARGETS_OBJECT
2-06-06-03,复核,INVOLVES_ACTION
2-06-06-03,估算,INVOLVES_ACTION
2-06-06-03,评估,INVOLVES_ACTION
2-06-06-03,森林资源,TARGETS_OBJECT
2-06-06-03,生态效益,TARGETS_OBJECT
2-06-06-03,评估报告,TARGETS_OBJECT
2-06-06-04,收集,INVOLVES_ACTION
2-06-06-04,勘测,INVOLVES_ACTION
2-06-06-04,评估,INVOLVES_ACTION
2-06-06-04,矿业权,TARGETS_OBJECT
2-06-06-04,评估报告,TARGETS_OBJECT
2-06-06-04,咨询服务,TARGETS_OBJECT
2-06-06-05,分析,INVOLVES_ACTION
2-06-06-05,估算,INVOLVES_ACTION
2-06-06-05,撰写,INVOLVES_ACTION
2-06-06-05,海域海岛价格,TARGETS_OBJECT
2-06-06-05,地理信息资料,TARGETS_OBJECT
2-06-06-05,评估报告,TARGETS_OBJECT
2-06-06-05,现场,OPERATES_IN_ENV
2-06-07,市场营销,TARGETS_OBJECT
2-06-07,商务策划,TARGETS_OBJECT
2-06-07,管理咨询,TARGETS_OBJECT
2-06-07-01,研究,INVOLVES_ACTION
2-06-07-01,分析,INVOLVES_ACTION
2-06-07-01,谈判,INVOLVES_ACTION
2-06-07-01,国际市场,TARGETS_OBJECT
2-06-07-01,贸易政策,TARGETS_OBJECT
2-06-07-01,商务合同,TARGETS_OBJECT
2-06-07-02,管理,INVOLVES_ACTION
2-06-07-02,市场调研,TARGETS_OBJECT
2-06-07-02,营销策略,TARGETS_OBJECT
2-06-07-02,品牌,TARGETS_OBJECT
2-06-07-03,策划,INVOLVES_ACTION
2-06-07-03,评估,INVOLVES_ACTION
2-06-07-03,商务活动,TARGETS_OBJECT
2-06-07-03,策划方案,TARGETS_OBJECT
2-06-07-04,策划,INVOLVES_ACTION
2-06-07-04,评估,INVOLVES_ACTION
2-06-07-04,品牌管理,TARGETS_OBJECT
2-06-07-04,品牌推广,TARGETS_OBJECT
2-06-07-04,品牌战略规划,TARGETS_OBJECT
2-06-07-05,策划,INVOLVES_ACTION
2-06-07-05,管理,INVOLVES_ACTION
2-06-07-05,会展,TARGETS_OBJECT
2-06-07-05,展览,TARGETS_OBJECT
2-06-07-05,会议,TARGETS_OBJECT
2-06-07-05,会展现场,OPERATES_IN_ENV
2-06-07-06,优化,INVOLVES_ACTION
2-06-07-06,房地产开发,TARGETS_OBJECT
2-06-07-06,房地产营销,TARGETS_OBJECT
2-06-07-06,房地产管理,TARGETS_OBJECT
2-06-07-07,推广,INVOLVES_ACTION
2-06-07-07,销售,INVOLVES_ACTION
2-06-07-07,医药产品,TARGETS_OBJECT
2-06-07-07,客户,TARGETS_OBJECT
2-06-07-07,市场,TARGETS_OBJECT
2-06-07-08,评估,INVOLVES_ACTION
2-06-07-08,优化,INVOLVES_ACTION
2-06-07-08,企业管理咨询,TARGETS_OBJECT
2-06-07-08,战略规划,TARGETS_OBJECT
2-06-07-08,组织设计,TARGETS_OBJECT
2-06-07-08,流程优化,TARGETS_OBJECT
2-06-07-09,评估,INVOLVES_ACTION
2-06-07-09,管理,INVOLVES_ACTION
2-06-07-09,拍卖活动,TARGETS_OBJECT
2-06-07-09,拍卖物品,TARGETS_OBJECT
2-06-07-09,拍卖过程,TARGETS_OBJECT
2-06-07-09,拍卖现场,OPERATES_IN_ENV
2-06-07-10,管理,INVOLVES_ACTION
2-06-07-10,经营,INVOLVES_ACTION
2-06-07-10,评估,INVOLVES_ACTION
2-06-07-10,物业,TARGETS_OBJECT
2-06-07-10,客户,TARGETS_OBJECT
2-06-07-10,管理策略,TARGETS_OBJECT
2-06-07-11,维护,INVOLVES_ACTION
2-06-07-11,分析,INVOLVES_ACTION
2-06-07-11,经纪与代理业务,TARGETS_OBJECT
2-06-07-11,客户,TARGETS_OBJECT
2-06-07-11,市场需求,TARGETS_OBJECT
2-06-07-12,申报,INVOLVES_ACTION
2-06-07-12,申请办理,INVOLVES_ACTION
2-06-07-12,配合办理,INVOLVES_ACTION
2-06-07-12,进出口货物,TARGETS_OBJECT
