源编码,源名称,目标编码,目标名称,相似度得分,关系类型,LLM防坑口诀
1-01-00,中国共产党机关负责人,1-02-04-00,监察机关负责人,0.8855,POTENTIALLY_CONFUSED,党机关管党务，监察机关管监督。
1-01-00-01,中国共产党机关负责人,1-02-04,监察机关负责人,0.8855,POTENTIALLY_CONFUSED,党机关管党务，监察机关管监督。
2-02-18-02,土木建筑工程技术人员,6-29-01-06,装配式建筑施工员,0.8852,POTENTIALLY_CONFUSED,[土木建筑工程技术人员]是综合管理，[装配式建筑施工员]是专项安装。[土木建筑工程技术人员]是综合管理，[装配式建筑施工员]是专项安装、施工。
2-03-03-00,植物保护技术人员 L,4-09-09-00,有害生物防制员L,0.8851,POTENTIALLY_CONFUSED,[植物保护技术人员 L]护植物，[有害生物防制员L]除害虫。[植物保护技术人员 L]主要防治农林植物病虫草鼠等有害生物；[有害生物防制员L]更常见于城市、仓储、公共场所的病媒生物防制。
2-05-05-03,公共卫生医师,4-14-04-03,公共场所卫生管理员,0.8845,POTENTIALLY_CONFUSED,医师侧重专业监测评价，管理员侧重制度管理
2-02-02-02,工程测量工程技术人员 S,4-08-03-04,工程测量员 S,0.884,POTENTIALLY_CONFUSED,技术人员重设计组织，测量员重仪器操作
2-06-08-01,人力资源管理专业人员,4-07-03-04,企业人力资源管理师,0.8839,POTENTIALLY_CONFUSED,职责高度重合，仅为称谓差异。[人力资源管理专业人员]涉及人力资源“发展规划”等偏宏观、战略的管理型职责和”组织文化建设”等价值观层面工作内容；[企业人力资源管理师]更基于企业现有架构的操作性工作、绩效考评、培训执行等基础人力资源工作。
2-05-07-09,消毒技师,4-14-04-02,消毒员,0.8831,POTENTIALLY_CONFUSED,技师侧重监测指导，员侧重执行操作。
6-20-02-03,汽轮机装配调试工,6-29-03-07,发电设备安装工,0.8829,POTENTIALLY_CONFUSED,[汽轮机装配调试工]专攻汽轮机装配，[发电设备安装工]涵盖全类发电设备安装
4-14-99,其他健康、体育和休闲服务人员,4-99-00,其他社会生产服务和生活服务人员,0.8828,POTENTIALLY_CONFUSED,健康休闲看身体，社会生活看综合。[其他健康、体育和休闲服务人员]是健康、体育、休闲服务子类的兜底项；[其他社会生产服务和生活服务人员]是整个社会生产服务和生活服务大类的兜底项。
6-18-01-04,磨工,6-20-01-03,齿轮制造工,0.8825,POTENTIALLY_CONFUSED,磨工主磨表面，齿轮工主切齿形。
6-09-03-03,陶瓷工艺品制作师,6-15-05-02,陶瓷成型施釉工,0.8821,POTENTIALLY_CONFUSED,制作师重彩绘雕塑，成型工重机械施釉
4-08-02-03,海洋水文调查员L,4-09-02-01,水文勘测工,0.882,POTENTIALLY_CONFUSED,[海洋水文调查员L]海测温盐深，[水文勘测工]水测流量泥沙
2-02-22-01,海洋调查与监测工程技术人员 L/S,4-08-03-06,海洋测绘员L/S,0.882,POTENTIALLY_CONFUSED,调查监测重环境，测绘重水深海图。
6-26-01-01,仪器仪表制造工,6-29-03-02,电气设备安装工,0.882,POTENTIALLY_CONFUSED,[仪器仪表制造工]造仪表，[电气设备安装工]装设备
2-02-34-02,工业设计工程技术人员 S,4-08-08-26,工业设计工艺师S,0.8816,POTENTIALLY_CONFUSED,[工业设计工程技术人员 S]侧重工程实现，[工业设计工艺师S]侧重方案设计。[工业设计工程技术人员 S]偏工业产品的设计开发与工程化；[工业设计工艺师S]偏技术实践和验证（与上面2-02-34-01vs4-08-08-26保持一致）。
2-06-11,证券期货基金专业人员,4-05-02,证券期货服务人员,0.8813,POTENTIALLY_CONFUSED,专业人员做交易销售，服务人员做中介支撑。[证券期货基金专业人员]更偏证券、期货、基金业务的分析、投资、咨询、销售等专业活动；[证券期货服务人员]偏开户、清算、客服、柜台等服务支撑。
2-02-29-02,计量工程技术人员,4-08-05-06,计量员,0.8807,POTENTIALLY_CONFUSED,技术人员管标准，计量员做执行。
2-09-03,电影电视制作专业人员,4-13-02,广播、电视、电影和影视录音制作人员,0.8806,POTENTIALLY_CONFUSED,[电影电视制作专业人员]侧重制作发行，[广播、电视、电影和影视录音制作人员]侧重内容播出。
6-17-09-10,铸轧工,6-18-02-01,铸造工,0.8804,POTENTIALLY_CONFUSED,铸轧是铸造+轧制，铸造仅是浇注成型
6-15-01-06,预拌混凝土生产工,6-29-01-03,混凝土工,0.88,POTENTIALLY_CONFUSED,预拌在工厂产，混凝土工在现场浇
2-02-34-01,产品设计工程技术人员,4-08-08-13,陶瓷产品设计师,0.8797,POTENTIALLY_CONFUSED,[产品设计工程技术人员]是全行业通用设计，[陶瓷产品设计师]是陶瓷专项设计
2-06-99,其他经济和金融专业人员,4-05-99,其他金融服务人员,0.8792,POTENTIALLY_CONFUSED,专业人员看资质，服务人员看操作。[其他经济和金融专业人员]是经济和金融专业人员中的兜底项；[其他金融服务人员]是金融服务操作人员中的兜底项。
2-06-07-10,物业经营管理专业人员,4-06-01,物业管理服务人员,0.879,POTENTIALLY_CONFUSED,管理人员管经营，服务人员管维护。前者运营策划，后者现场服务
2-02-20-02,森林培育工程技术人员 L,5-02-02,营造林人员,0.8789,POTENTIALLY_CONFUSED,[森林培育工程技术人员 L]侧重技术研发与管理，[营造林人员]侧重一线执行。
2-02-10-08,信息系统运行维护工程技术人员 S,4-04-04-02,网络与信息安全管理员S,0.8787,POTENTIALLY_CONFUSED,[信息系统运行维护工程技术人员 S]侧重系统运维，[网络与信息安全管理员S]侧重安全防护与审计
6-20-02-01,锅炉设备制造工,6-29-03-06,锅炉设备安装工,0.8783,POTENTIALLY_CONFUSED,制造是做锅炉，安装是把锅炉装好。
6-11-08-15,橡胶生产工,6-14-01-01,橡胶制品生产工,0.8783,POTENTIALLY_CONFUSED,[橡胶生产工]产橡胶原料，[橡胶制品生产工]用橡胶造制品
2-07-09-00,法律顾问,3-01-04-05,基层法律服务工作者,0.8782,POTENTIALLY_CONFUSED,顾问在单位内部，服务者在所里执业。前者为特定单位服务，后者面向基层大众
2-02-10-08,信息系统运行维护工程技术人员 S,4-04-04-06,密码技术应用员S,0.8781,POTENTIALLY_CONFUSED,[信息系统运行维护工程技术人员 S]侧重通用运维，[密码技术应用员S]侧重密码安全专项。
2-06-06,资产和资源评估专业人员,4-05-05-02,资产管理师,0.878,POTENTIALLY_CONFUSED,评估看价值，管理看运营。
2-05-06-01,药师,4-14-01-01,医疗临床辅助服务员,0.8777,POTENTIALLY_CONFUSED,药师重专业药学指导，辅助员重基础调配
2-02-20-03,园林绿化工程技术人员 L,2-03-04-00,园艺技术人员 L,0.8776,POTENTIALLY_CONFUSED,绿化重工程施工，园艺重育种研发
6-29-03-02,电气设备安装工,6-31-01-04,仪器仪表维修工,0.8775,POTENTIALLY_CONFUSED,[电气设备安装工]重安装敷设，[仪器仪表维修工]重维护修理。前者侧重安装，后者侧重维修
6-04-06-02,纺织染色工,6-11-05-04,染料生产工,0.8772,POTENTIALLY_CONFUSED,[纺织染色工]染布，[染料生产工]造染料
4-02-03-04,水上救生员,4-14-05-03,游泳救生员,0.877,POTENTIALLY_CONFUSED,水上救生员偏向抢险，游泳救生员偏向看护。前者在开放水域救人和船，后者在室内游泳馆救人
5-01-01,作物种子(苗)繁育生产人员,5-02-01,林草种苗繁育人员,0.8764,POTENTIALLY_CONFUSED,[作物种子(苗)繁育生产人员]为农牧园艺，[林草种苗繁育人员]为林草苗木。
4-09-99,其他水利、环境和公共设施管理服务人员,4-11-99,其他电力、燃气及水供应服务人员,0.8762,POTENTIALLY_CONFUSED,[其他水利、环境和公共设施管理服务人员]管设施管理，[其他电力、燃气及水供应服务人员]供电燃气水服务
6-17-03-02,铸管工,6-18-02-01,铸造工,0.876,POTENTIALLY_CONFUSED,铸管专注管材，铸造涵盖全类铸件。
6-04-02-01,纺纱工,6-13-02-01,纺丝工,0.8755,POTENTIALLY_CONFUSED,纺纱是加工纤维，纺丝是化学合成。
6-24-08-00,轨道交通通信信号设备制造工,6-29-03-09,轨道交通通信工,0.8749,POTENTIALLY_CONFUSED,制造工在工厂组装，通信工在现场施工维护。
2-02-38-06,工业互联网工程技术人员 S,4-04-05-14,工业互联网运维员 S,0.8747,POTENTIALLY_CONFUSED,工程技术人员重规划研发，运维员重执行维护
6-17-10-01,硬质合金混合料工,6-18-02-06,粉末冶金制品制造工,0.8746,POTENTIALLY_CONFUSED,[硬质合金混合料工]配料制粉，[粉末冶金制品制造工]压制成型制成品
2-02-18-02,土木建筑工程技术人员,6-29-02,土木工程建筑施工人员,0.8743,POTENTIALLY_CONFUSED,[土木建筑工程技术人员]为管理技术员，[土木工程建筑施工人员]为一线施工员
6-01-01-03,制油工,6-10-01-07,润滑油脂生产工,0.874,POTENTIALLY_CONFUSED,制油工产食用油，润滑油工产工业油。
6-11-02,基础化学原料制造人员,6-12-01,化学药品原料药制造人员,0.8739,POTENTIALLY_CONFUSED,基础化学看原料，药品原料看药典。
2-02-16,民用航空工程技术人员,6-30-03,民用航空设备操作及有关人员,0.8737,POTENTIALLY_CONFUSED,技术人员重维修生产，操作员重保障运行。前者设计研究，后者执行操作
2-02-15-03,水上交通工程技术人员,2-04-02-01,甲板部技术人员,0.8736,POTENTIALLY_CONFUSED,[水上交通工程技术人员]是监管者，[甲板部技术人员]是操作者。
2-02-04,石油天然气工程技术人员,6-16-02,石油和天然气开采与储运人员,0.8735,POTENTIALLY_CONFUSED,技术人员重研究设计，开采储运人员重操作
6-15-07-01,炭素煅烧工,6-17-05-02,重金属物料焙烧工,0.8733,POTENTIALLY_CONFUSED,[炭素煅烧工]炭素原料，[重金属物料焙烧工]重金属物料
2-09-03-03,电影电视摄影师,4-13-02-09,电视摄像员,0.8731,POTENTIALLY_CONFUSED,摄影师重创作，摄像员重操作。
6-11-09-04,火工品管理工,6-29-02-07,爆破工,0.8725,POTENTIALLY_CONFUSED,管理工管物资，爆破工负责起爆。
2-09-06-06,工艺美术专业人员,4-08-08-05,工艺美术品设计师,0.8724,POTENTIALLY_CONFUSED,专业人员涵盖制作，设计师侧重设计与指导
2-02-28,安全工程技术人员,6-31-06-00,安全员,0.8721,POTENTIALLY_CONFUSED,技术人员重设计评估，安全员重现场监督。
2-02-27-01,环境监测工程技术人员 L,4-08-06-00,环境监测员 L,0.8718,POTENTIALLY_CONFUSED,技术人员重评价分析，监测员重采样分析。
2-02-01-01,地质实验测试工程技术人员,4-08-07-05,地质实验员,0.8717,POTENTIALLY_CONFUSED,技术人员重研究标准，实验员重操作执行。
2-05-08-05,社区护士,4-14-04-04,社群健康助理员,0.8708,POTENTIALLY_CONFUSED,护士重医疗操作，助理员重服务代理
5-01-01-02,种苗繁育员,5-02-01,林草种苗繁育人员,0.8707,POTENTIALLY_CONFUSED,[种苗繁育员]为农作物，[林草种苗繁育人员]为林草植物。
4-01-02-03,商品营业员,4-02-06-02,理货员,0.8707,POTENTIALLY_CONFUSED,营业员侧重销售服务，理货员侧重仓储物流。
2-02-07,机械工程技术人员,6-31-01-04,仪器仪表维修工,0.8705,POTENTIALLY_CONFUSED,[机械工程技术人员]侧重设计制造，[仪器仪表维修工]侧重维护修理。
2-03-08-01,水产养殖技术人员,5-04-02,水产养殖人员,0.8705,POTENTIALLY_CONFUSED,技术人员重研发推广，养殖人员重日常饲养。
2-01-07-00,农业科学研究人员,2-03-05-00,作物遗传育种栽培技术人员,0.8704,POTENTIALLY_CONFUSED,[农业科学研究人员]为综合研究，[作物遗传育种栽培技术人员]为作物育种栽培专项
3-01-02-07,制图员,4-08-03-03,地图绘制员,0.8702,POTENTIALLY_CONFUSED,制图员画工程图，地图员画地图。
6-20-04-00,电梯装配调试工,6-29-03-03,电梯安装维修工,0.87,POTENTIALLY_CONFUSED,装配侧重出厂组装，安装维修侧重现场部署与售后
4-01-99,其他批发与零售服务人员,4-99-00,其他社会生产服务和生活服务人员,0.87,POTENTIALLY_CONFUSED,[其他批发与零售服务人员]属零售贸易，[其他社会生产服务和生活服务人员]属社会生活服务。
2-02-05,冶金工程技术人员,6-18-02,机械热加工人员,0.8698,POTENTIALLY_CONFUSED,[冶金工程技术人员]侧重冶炼工艺，[机械热加工人员]侧重加工成型。
2-02-34-02,工业设计工程技术人员 S,4-08-08,专业化设计服务人员,0.8697,POTENTIALLY_CONFUSED,[工业设计工程技术人员 S]重工程实现，[专业化设计服务人员]重视觉呈现。前者工程设计，后者呈现实地效果
2-02-20-10,林业资源调查与监测工程技术人员 L,2-06-06-03,森林资源评估专业人员L,0.8692,POTENTIALLY_CONFUSED,调查监测重在‘量化’，评估专业重在‘价值’。
2-09-04-01,灯光师,4-13-02-07,照明工,0.869,POTENTIALLY_CONFUSED,灯光师偏设计管理，照明工偏安装操作。
6-20-01-01,装配钳工,6-31-01-02,机修钳工,0.869,POTENTIALLY_CONFUSED,装配是新造，机修是旧修。
6-11-09,火工品制造、保管、爆破及焰火产品制造人员,6-29-02-07,爆破工,0.8686,POTENTIALLY_CONFUSED,[火工品制造、保管、爆破及焰火产品制造人员]造保管，[爆破工]实操爆破
2-01-99,其他科学研究人员,2-99-00,其他专业技术人员,0.8685,POTENTIALLY_CONFUSED,科学研究员侧重科研，专业技术员侧重应用。
6-04-01,纤维预处理人员,6-13-02,化学纤维纺丝及后处理人员,0.8685,POTENTIALLY_CONFUSED,[纤维预处理人员]预处理，[化学纤维纺丝及后处理人员]纺丝后处理，关注工序阶段
6-17-10-02,硬质合金成型工,6-18-02-06,粉末冶金制品制造工,0.8683,POTENTIALLY_CONFUSED,[硬质合金成型工]侧重成型，[粉末冶金制品制造工]涵盖制粉到烧结全流程。
2-02-02-06,地理国情监测工程技术人员 L/S,4-08-04-03,地理信息应用作业员L,0.8683,POTENTIALLY_CONFUSED,[地理国情监测工程技术人员 L/S]设计指导，[地理信息应用作业员L]执行生产
6-04-06,印染人员,6-08-01,印刷人员,0.868,POTENTIALLY_CONFUSED,印染是染布，印刷是印纸
2-07-04-00,律师,3-01-04-05,基层法律服务工作者,0.8676,POTENTIALLY_CONFUSED,律师执业证全能，基层证仅限基层所。
2-03-06,兽医兽药技术人员,5-05-02-03,动物疫病防治员,0.8672,POTENTIALLY_CONFUSED,技术员偏向监管推广，防治员偏向一线操作
2-02-01-04,地质矿产调查工程技术人员,4-08-07-04,地质调查员L,0.8671,POTENTIALLY_CONFUSED,[地质矿产调查工程技术人员]侧重矿产勘查评价，[地质调查员L]侧重基础与灾害调查
2-02-28-03,安全生产管理工程技术人员,6-31-06,安全生产管理人员,0.867,POTENTIALLY_CONFUSED,技术人员重规划方案，管理人员重现场监督。
4-06-99,其他房地产服务人员,4-07-99,其他租赁和商务服务人员,0.8664,POTENTIALLY_CONFUSED,房产服务看房产，商务服务看综合租赁。
2-02-20-04,野生动物保护利用工程技术人员 L,4-09-06-01,野生动物保护员L,0.8662,POTENTIALLY_CONFUSED,技术人员重规划研究，保护员重巡护执行。
2-03-02-00,农业技术指导人员,5-05-01,农业生产服务人员,0.8662,POTENTIALLY_CONFUSED,指导人员重技术研发，服务人员重生产实操
2-02-35-02,假肢师,6-21-06-03,假肢装配工,0.8661,POTENTIALLY_CONFUSED,师负责设计评定，工负责制作组装。
2-10-99,其他新闻出版、文化专业人员,4-13-99,其他文化和教育服务人员,0.8659,POTENTIALLY_CONFUSED,专业人员看资质，服务人员看执行。
6-18-02,机械热加工人员,6-20-03,金属加工机械制造人员,0.8658,POTENTIALLY_CONFUSED,[机械热加工人员]加工零件，[金属加工机械制造人员]组装机床
2-02-38-13,密码工程技术人员 S,4-04-04-06,密码技术应用员S,0.8657,POTENTIALLY_CONFUSED,工程侧重研发实现，应用侧重部署运维。前者研发设计，后者部署应用
6-02-05-05,酶制剂制造工,6-12-05-02,发酵工程制药工,0.8655,POTENTIALLY_CONFUSED,酶制剂产工业品，发酵制药产药品。
6-29-03-01,机械设备安装工,6-31-01-02,机修钳工,0.8652,POTENTIALLY_CONFUSED,[机械设备安装工]重安装调试，[机修钳工]重维护修理。前者安装，后者维修
6-29-03-02,电气设备安装工,6-31-01-03,电工,0.865,POTENTIALLY_CONFUSED,安装工重安装调试，电工重维护修理。
2-02-31,检验检疫工程技术人员,6-31-03-05,质检员,0.865,POTENTIALLY_CONFUSED,检疫侧重出入境监管，质检侧重生产质量。
6-20-06-04,电动工具制造工,6-24-01-00,电机制造工,0.8649,POTENTIALLY_CONFUSED,[电动工具制造工]造工具成品，[电机制造工]造电机核心部件
6-17-10-03,硬质合金烧结工,6-18-02-06,粉末冶金制品制造工,0.8647,POTENTIALLY_CONFUSED,[硬质合金烧结工]专攻烧结，[粉末冶金制品制造工]涵盖制粉压制全流程。
6-24-08-00,轨道交通通信信号设备制造工,6-25-04-01,通信系统设备制造工,0.8646,POTENTIALLY_CONFUSED,[轨道交通通信信号设备制造工]轨交专用，[通信系统设备制造工]通用通信，领域不同。
2-02-25-05,人工影响天气工程技术人员 S,4-08-01-02,人工影响天气特种作业操作员,0.8643,POTENTIALLY_CONFUSED,技术人员管预报指挥，操作员管发射执行
2-04-02-01,甲板部技术人员,6-30-04-01,船舶甲板设备操作工,0.8642,POTENTIALLY_CONFUSED,技术人员管指挥，操作工管干活。
2-09-07-05,体育经理人,4-14-05-05,体育经纪人,0.8641,POTENTIALLY_CONFUSED,经理管运营，经纪人做中介。
2-07-11-04,养老服务师,4-10-01-05,养老护理员,0.864,POTENTIALLY_CONFUSED,服务师侧重管理评估，护理员侧重生活照料
2-02-22,海洋工程技术人员,4-08-02,海洋服务人员,0.8637,POTENTIALLY_CONFUSED,技术人员偏向工程设计，服务人员偏向监测观测
6-11-05-01,涂料生产工,6-18-03-03,涂装工,0.8637,POTENTIALLY_CONFUSED,生产工造漆，涂装工刷漆。前者生产涂料，后者使用涂料
6-29-03-08,电力电气设备安装工,6-31-01-03,电工,0.8633,POTENTIALLY_CONFUSED,安装工重安装调试，电工重维护修理
2-02-04-01,石油天然气开采工程技术人员,6-16-02,石油和天然气开采与储运人员,0.8631,POTENTIALLY_CONFUSED,[石油天然气开采工程技术人员]为研发设计，[石油和天然气开采与储运人员]为现场操作。
2-06-07-02,市场营销专业人员,4-01-02-01,营销员,0.8631,POTENTIALLY_CONFUSED,专业人员重策划管理，营销员重执行销售。
5-05-06-04,植物原料制取工,6-11-08-18,植物原料水解工,0.8631,POTENTIALLY_CONFUSED,制取重在提取，水解重在发酵酒精酵母
5-05-06-08,代用茶加工工,6-02-06-10,茶叶加工工,0.863,POTENTIALLY_CONFUSED,代用茶非茶，茶叶是真茶。
2-03-02,农业技术指导人员,5-05-01-01,农业技术员,0.863,POTENTIALLY_CONFUSED,指导人员偏向咨询开发，技术员偏向实操推广
6-10-01-06,炼厂气加工工,6-11-02-12,芳香烃生产工,0.8626,POTENTIALLY_CONFUSED,气加工产气液，芳香烃产苯甲萘
6-25-04,电子设备装配调试人员,6-26-01,仪器仪表装配人员,0.8624,POTENTIALLY_CONFUSED,设备侧重系统集成，仪表侧重精密元件。
2-02-20-05,自然保护区工程技术人员 L,4-09-06,野生动植物保护人员,0.8623,POTENTIALLY_CONFUSED,[自然保护区工程技术人员 L]侧重规划监测，[野生动植物保护人员]侧重培育繁殖。
6-29-03-06,锅炉设备安装工,6-31-01-05,锅炉设备检修工,0.8622,POTENTIALLY_CONFUSED,安装是新造，检修是维护。
4-03-02-06,营养配餐员,4-14-02-01,营养师,0.8618,POTENTIALLY_CONFUSED,配餐员重在食谱设计，营养师重在健康评估。配餐员重在食谱设计，营养师重在膳食指导和评估
2-06-09,银行专业人员,4-05-01,银行服务人员,0.8617,POTENTIALLY_CONFUSED,专业人员重运营筹措，服务人员重柜面办理
6-11-02-14,芳香烃衍生物生产工,6-12-01-00,化学合成制药工,0.8617,POTENTIALLY_CONFUSED,前者产化工原料，后者产药用成分。
2-06-07-11,经纪与代理专业人员,4-01-02-01,营销员,0.8616,POTENTIALLY_CONFUSED,经纪侧重中介撮合，营销侧重产品销售
6-10-01-08,石油产品精制工,6-11-02-14,芳香烃衍生物生产工,0.8615,POTENTIALLY_CONFUSED,[石油产品精制工]精制成品油，[芳香烃衍生物生产工]生产芳香烃衍生物。[石油产品精制工]生产石油产品精制
2-02-21-01,水文水资源工程技术人员 L,4-09-02-01,水文勘测工,0.8615,POTENTIALLY_CONFUSED,技术人员重规划分析，勘测工重现场监测。技术人员重调查、监测与评价、水资源开发利用、配置调度
3-01-02-04,收发员,4-02-07-04,邮政投递员,0.8611,POTENTIALLY_CONFUSED,收发员在内，投递员在外
2-02-20-11,园林植物保护工程技术人员 L,2-03-04-00,园艺技术人员 L,0.8599,POTENTIALLY_CONFUSED,[园林植物保护工程技术人员 L]侧重病虫害防治，[园艺技术人员 L]侧重育种栽培管理。[园林植物保护工程技术人员 L]侧重有害生物测报、检疫、防治
2-10-04-02,节目主持人,4-13-01-02,礼仪主持人,0.8598,POTENTIALLY_CONFUSED,节目主导内容，礼仪主导流程。[节目主持人]侧重主持节目，[礼仪主持人]侧重主持礼仪活动
2-02-05-09,稀土工程技术人员,6-17-07-04,稀土冶炼工,0.8593,POTENTIALLY_CONFUSED,技术人员搞研发设计，冶炼工负责设备操作
2-06-07-10,物业经营管理专业人员,4-06-01-01,物业管理师,0.8591,POTENTIALLY_CONFUSED,经营侧重资产增值，管理侧重运维服务。[物业经营管理专业人员]侧重物业的经营管理及评估，[物业管理师]侧重物业服务的运维
2-02-10-03,计算机软件工程技术人员 S,4-04-05-02,计算机软件测试员S,0.8589,POTENTIALLY_CONFUSED,[计算机软件工程技术人员 S]全生命周期开发，[计算机软件测试员S]仅负责验证测试。
6-11-01,化工产品生产通用工艺人员,6-12-01,化学药品原料药制造人员,0.8584,POTENTIALLY_CONFUSED,通用工艺看流程，原料药看药典。[化工产品生产通用工艺人员]侧重化工产品通用工艺，[化学药品原料药制造人员]侧重化学药品的原料药
6-01-06-00,果蔬坚果加工工,6-02-03-03,罐头食品加工工,0.8584,POTENTIALLY_CONFUSED,[果蔬坚果加工工]重加工工艺，[罐头食品加工工]重密封杀菌。[果蔬坚果加工工]重农副产品（果蔬坚果）的简单加工，[罐头食品加工工]重方便食品的生产加工
6-24-02-03,电力电容器及其装置制造工,6-25-01-01,电容器制造工,0.8582,POTENTIALLY_CONFUSED,电力电容器侧重装置，普通电容器侧重元件。电力电容器侧重输配电及控制设备，普通电容器侧重元件
6-16-02-10,天然气处理工,6-28-02-04,工业气体液化工,0.8579,POTENTIALLY_CONFUSED,[天然气处理工]侧重天然气净化加工，[工业气体液化工]侧重通用气体液化。
2-02-35-01,矫形器师,6-21-06-02,矫形器装配工,0.8576,POTENTIALLY_CONFUSED,师负责设计方案，工负责具体制作安装。
6-16-01-14,矿石处理工,6-17-04-01,铁合金原料工,0.8573,POTENTIALLY_CONFUSED,[矿石处理工]重加工处理，[铁合金原料工]含磁选配料及成型。[矿石处理工]重矿物的简单加工处理，[铁合金原料工]重矿物的加工处理成铁合金原料
6-20-02-01,锅炉设备制造工,6-31-01-05,锅炉设备检修工,0.8572,POTENTIALLY_CONFUSED,制造是做新锅炉，检修是修旧锅炉。
6-11-08-10,有机硅生产工,6-12-01-00,化学合成制药工,0.8571,POTENTIALLY_CONFUSED,有机硅产硅，制药工产药，看产品目标
6-09-03-03,陶瓷工艺品制作师,6-15-05,陶瓷制品制造人员,0.8571,POTENTIALLY_CONFUSED,工艺品重艺术创作，制品重工业生产。
2-06-11,证券期货基金专业人员,4-05-05,信托和资产管理服务人员,0.857,POTENTIALLY_CONFUSED,[证券期货基金专业人员]侧重交易销售，[信托和资产管理服务人员]侧重信托管理。[证券期货基金专业人员]侧重发行、交易销售，[信托和资产管理服务人员]侧重具体信托管理业务的办理。
2-06-07-05,会展策划专业人员,2-09-06-09,陈列展览设计人员,0.8569,POTENTIALLY_CONFUSED,[会展策划专业人员]重策划组织，[陈列展览设计人员]重空间设计布置。[会展策划专业人员]重会展的策划、组织管理，[陈列展览设计人员]重陈列展览的策划及空间设计布置
2-05-08,护理人员,4-14-01-02,医疗护理员,0.8566,POTENTIALLY_CONFUSED,护理人员专业医疗，护理员生活照护。
2-02-25,气象工程技术人员,4-08-01,气象服务人员,0.8566,POTENTIALLY_CONFUSED,工程技术人员重研究开发，服务人员重执行。工程技术人员重探测、研究、预报、预测和应用，服务人员重气象探测、预报等服务的执行
6-20-03-01,机床装调维修工,6-31-01-10,机电设备维修工,0.8564,POTENTIALLY_CONFUSED,[机床装调维修工]重装调，[机电设备维修工]重维保
4-10-01-05,养老护理员,4-14-01-02,医疗护理员,0.8563,POTENTIALLY_CONFUSED,养老看重生活照料，医疗看重临床基础护理。养老看重对老年人的生活照料，医疗看重对患者的基础护理
6-15-01-02,水泥混凝土制品工,6-29-01-03,混凝土工,0.8562,POTENTIALLY_CONFUSED,制品工做构件，混凝土工做浇筑。
2-02-38-09,集成电路工程技术人员 S,6-25-02,电子器件制造人员,0.856,POTENTIALLY_CONFUSED,[集成电路工程技术人员 S]是研发设计，[电子器件制造人员]是生产制造。[集成电路工程技术人员 S]是集成电路的研发设计，[电子器件制造人员]是电子器件的生产制造。
2-06-08,人力资源专业人员,4-07-03-04,企业人力资源管理师,0.856,POTENTIALLY_CONFUSED,[人力资源专业人员]为综合职能，[企业人力资源管理师]为具体执行操作。[人力资源专业人员]为综合职能及管理，[企业人力资源管理师]为具体执行操作。
2-02-11-01,电工电器工程技术人员,6-31-01-03,电工,0.8557,POTENTIALLY_CONFUSED,[电工电器工程技术人员]是研发设计，[电工]是安装维护。
2-02-06-03,化工生产工程技术人员,6-11-01,化工产品生产通用工艺人员,0.8557,POTENTIALLY_CONFUSED,[化工生产工程技术人员]是技术指导与管理，[化工产品生产通用工艺人员]是具体操作执行。
2-06-07,商务专业人员,4-07-02,商务咨询服务人员,0.8556,POTENTIALLY_CONFUSED,[商务专业人员]侧重综合商务，[商务咨询服务人员]侧重专业咨询。
2-02-35-02,假肢师,6-21-06,医疗器械制品和康复辅具生产人员,0.8556,POTENTIALLY_CONFUSED,假肢师负责设计适配，生产人员负责装配。
6-11-08-03,化学试剂生产工,6-12-01-00,化学合成制药工,0.8555,POTENTIALLY_CONFUSED,试剂侧重通用化学品，制药侧重药用成分。
2-02-10-08,信息系统运行维护工程技术人员 S,4-04-04-01,信息通信网络运行管理员S,0.8555,POTENTIALLY_CONFUSED,[信息系统运行维护工程技术人员 S]侧重系统软件开发维护，[信息通信网络运行管理员S]侧重网络设备运行。
6-18-04-06,工具钳工,6-31-01-02,机修钳工,0.8553,POTENTIALLY_CONFUSED,工具钳工造具，机修钳工修机。
2-02-20-02,森林培育工程技术人员 L,5-02-01,林草种苗繁育人员,0.8552,POTENTIALLY_CONFUSED,[森林培育工程技术人员 L]侧重工程管理，[林草种苗繁育人员]侧重种苗繁育。[森林培育工程技术人员 L]侧重作业指导与技术管理，[林草种苗繁育人员]侧重种苗繁育的执行
2-06-10,保险专业人员,4-05-03,保险服务人员,0.8551,POTENTIALLY_CONFUSED,专业人员管核保理赔，服务人员管代理公估。专业人员设计管理核保理赔等业务，服务人员负责具体执行
2-06-11-06,期货专业人员,4-05-02,证券期货服务人员,0.8551,POTENTIALLY_CONFUSED,[期货专业人员]做交易与管理，[证券期货服务人员]提供专业配套服务。[期货专业人员]做交易、咨询与管理
6-11-01-04,制冷工,6-28-02-06,压缩机操作工,0.8549,POTENTIALLY_CONFUSED,制冷工控温降温，压缩机工仅加压输送。
2-02-15,道路和水上运输工程技术人员,2-04-02-01,甲板部技术人员,0.8547,POTENTIALLY_CONFUSED,[道路和水上运输工程技术人员]是综合维护，[甲板部技术人员]是船舶驾驶操作。
6-11-01-01,化工原料准备工,6-17-10-01,硬质合金混合料工,0.8546,POTENTIALLY_CONFUSED,[化工原料准备工]为通用化工配料，[硬质合金混合料工]为金属粉末合金化。
